Load Scenario,Strategy,Users,Active Panels,Active Antennas,Power Consumption (W),Average SINR (dB),Average Throughput (Mbps),Coverage Probability,Baseline Power (W),Energy Saving (%)
Low Load,Baseline Always-On,5,8,64,668.84,13.060576741524846,85.91790504200816,1.0,668.84,0.0
Low Load,Balanced Adaptive,5,4,32,506.92,10.008764769521246,67.2667692462959,1.0,668.84,24.20907840440165
Low Load,Aggressive Adaptive,5,2,16,425.96,6.9033604678829885,49.55949711129061,0.986,668.84,36.313617606602484
Medium Load,Baseline Always-On,15,8,64,727.72,6.898005297026846,50.588765153521585,1.0,727.72,0.0
Medium Load,Balanced Adaptive,15,6,48,632.04,5.635342844163994,43.85746422967219,0.9991111111111112,727.72,13.147914032869792
Medium Load,Aggressive Adaptive,15,4,32,536.36,3.8685179329442128,35.20416887319629,0.8784444444444444,727.72,26.295828065739574
Peak Load,Baseline Always-On,30,8,64,816.0399999999998,3.5717988578443003,34.02345319530921,0.9203333333333334,816.0399999999998,0.0
Peak Load,Balanced Adaptive,30,8,64,816.0399999999998,3.5717988578443003,34.02345319530921,0.9203333333333334,816.0399999999998,0.0
Peak Load,Aggressive Adaptive,30,8,64,816.0399999999998,3.5717988578443003,34.02345319530921,0.9203333333333334,816.0399999999998,0.0
